name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;459;0;624;3155;1348;3155;1466;0
header;271;130;271;167;1903;167;1903;130
A;1076;190;1076;217;1097;217;1097;190
B;597;379;597;398;611;398;611;379
B;971;701;971;720;985;720;985;701
B;1074;857;1074;884;1095;884;1095;857
B;1200;1434;1200;1450;1209;1450;1209;1434
B;771;1435;771;1452;780;1452;780;1435
C;1070;1536;1070;1564;1090;1564;1090;1536
A;1167;2051;1167;2052;1170;2052;1170;2051
A;809;2185;809;2187;811;2187;811;2185
B;1058;2219;1058;2254;1071;2254;1071;2219
A;916;2249;916;2253;920;2253;920;2249
D;1068;2292;1068;2319;1090;2319;1090;2292
A;982;2832;982;2838;986;2838;986;2832
A;1026;2875;1026;2875;1027;2875;1027;2875
A;1166;2900;1166;2900;1166;2900;1166;2900
A;658;2922;658;2926;663;2926;663;2922
A;873;3005;873;3006;875;3006;875;3005
