name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1068;0;1068;3147;1120;3147;1120;0
header;279;139;279;183;1911;183;1911;139
A;1087;199;1087;226;1108;226;1108;199
B;1086;990;1086;1015;1105;1015;1105;990
A;1072;1774;1072;1774;1073;1774;1073;1774
A;1081;2100;1081;2107;1087;2107;1087;2100
B;1067;2401;1067;2419;1083;2419;1083;2401
B;1100;2439;1100;2459;1115;2459;1115;2439
B;1076;2440;1076;2459;1092;2459;1092;2440
D;1098;2517;1098;2537;1113;2537;1113;2517
D;1083;2556;1083;2577;1099;2577;1099;2556
A;1096;2705;1096;2732;1101;2732;1101;2705
